DX200,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,ê}ï\1,ê}ï\2,è⁄ç◊ê‡ñæ(ãZèpé“óp),Notes
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,412,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,510,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,511,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,512,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,610,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,611,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,612,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,710,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,711,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,712,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,810,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,811,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,812,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,910,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,911,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,912,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1010,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1011,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1012,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1110,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1111,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1112,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1210,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1211,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1212,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1310,The communications loop back value of servo I/O communications (JL098) is incorrect. (Communication loop back),Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1311,The received address of JL098 is unmatched with the sent address.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
,,,,,YPS21 unit failure,"(1)Turn the power OFF then back ON.
(2) If the alarm occurs again, check the LED of the YPS21 unit: If any of the following red LED indications; +5V or +24V, FAN, OHT has lighten up, replace the YPS21 unit. 
",,,,SERVO
,,,,,EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN.",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,1312,The received buffer of JL098 is incorrect.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- EAXA21-CN515
- YIF01-CN113",,,,SERVO
